playtime.raw,hit_rate,player_uid,match_uid,attack_type,role,name,hero_id,is_win,kills,deaths,assists,hero_damage,hero_healed,damage_taken
282,0.4442307692307692,1235308968,5513253_1745109951_1290157_11001_12,Projectile,VANGUARD,Int3rGalactic,1018,0,5,5,13,4617.053912639618,17703.72856283188,22329.816066741943
75,0.3529411764705882,169489606,5513253_1745109951_1290157_11001_12,Projectile,DUELIST,ءءء٠,1040,1,22,7,7,18921.773882865906,0.0,12034.960939884186
51,0.3,169489606,5513253_1745109951_1290157_11001_12,Projectile,DUELIST,ءءء٠,1040,1,22,7,7,18921.773882865906,0.0,12034.960939884186
282,0.7128712871287128,169489606,5513253_1745109951_1290157_11001_12,Melee,DUELIST,ءءء٠,1040,1,22,7,7,18921.773882865906,0.0,12034.960939884186
182,0.4492753623188406,1306734986,5513253_1745109951_1290157_11001_12,Melee,STRATEGIST,clu3inc,1038,1,29,4,4,22605.89991044998,3371.2203545570374,10549.640162944794
591,0.539065287192294,1306734986,5513253_1745109951_1290157_11001_12,Melee,DUELIST,clu3inc,1038,1,29,4,4,22605.89991044998,3371.2203545570374,10549.640162944794
773,0.1803468208092485,1512586906,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,Ms Kobayashi,1023,1,7,2,32,3611.8055877685542,25117.96077680588,4404.324198722839
641,0.4955516014234875,124588384,5513253_1745109951_1290157_11001_12,Projectile,VANGUARD,AceOfWake,1018,1,21,6,2,14962.221205234528,0.0,33003.55124092102
534,0.9092592592592592,1448521135,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,SaksFifth,1025,1,16,3,34,9614.895435333252,19976.732330799103,11136.552906990051
304,0.5394736842105263,1343404938,5513253_1745109951_1290157_11001_12,Hitscan,DUELIST,AimWizard420,1053,1,25,5,6,23809.943130016327,0.0,23885.31302165985
612,0.0,1896173320,5514359_1744478852_1148082_11001_12,Melee,DUELIST,EternaI,1036,0,0,0,0,0.0,0.0,0.0
612,0.8123028391167192,1306734986,5514359_1744478852_1148082_11001_12,Projectile,STRATEGIST,clu3inc,1025,1,17,6,17,10804.163413763046,26558.92598104477,10435.123960494995
130,0.2205882352941176,1512586906,5514359_1744478852_1148082_11001_12,Projectile,STRATEGIST,Ms Kobayashi,1023,1,5,6,19,3501.5453691482544,19661.07740354538,6895.194429397583
483,0.1457663451232583,1512586906,5514359_1744478852_1148082_11001_12,Projectile,STRATEGIST,Ms Kobayashi,1023,1,5,6,19,3501.5453691482544,19661.07740354538,6895.194429397583
96,0.5185185185185185,124588384,5514359_1744478852_1148082_11001_12,Melee,VANGUARD,AceOfWake,1051,1,16,6,6,10581.55649137497,0.0,21236.51073408127
216,0.2213642213642213,124588384,5514359_1744478852_1148082_11001_12,Hitscan,DUELIST,AceOfWake,1051,1,16,6,6,10581.55649137497,0.0,21236.51073408127
258,0.4318181818181818,2087552486,5514359_1744478852_1148082_11001_12,Projectile,DUELIST,Nynstyc,1045,1,16,7,0,11180.221638202667,0.0,6925.397091388702
354,0.3769230769230769,2087552486,5514359_1744478852_1148082_11001_12,Projectile,DUELIST,Nynstyc,1045,1,16,7,0,11180.221638202667,0.0,6925.397091388702
612,0.2419955323901712,217513916,5514359_1744478852_1148082_11001_12,Projectile,STRATEGIST,Mommy's Darlin,1023,0,12,4,18,4445.666121959686,10967.544690608978,6143.568961143494
480,0.4057971014492754,1458472488,5514359_1744478852_1148082_11001_12,Melee,DUELIST,ryukinari,1052,0,27,8,2,15846.233152389526,0.0,11744.147563934326
6,0.0,1458472488,5514359_1744478852_1148082_11001_12,Projectile,DUELIST,ryukinari,1052,0,27,8,2,15846.233152389526,0.0,11744.147563934326
126,0.7272727272727273,1458472488,5514359_1744478852_1148082_11001_12,Melee,DUELIST,ryukinari,1052,0,27,8,2,15846.233152389526,0.0,11744.147563934326
612,0.3731958762886598,1728873343,5514359_1744478852_1148082_11001_12,Projectile,STRATEGIST,・  人  ・,1020,0,12,2,28,9999.497807502748,10128.647247314451,5760.393185138702
612,0.4012345679012346,1237047833,5514359_1744478852_1148082_11001_12,Melee,STRATEGIST,eleuiah,1050,0,20,4,16,9448.592213869097,12754.546061038973,11970.890741586683
188,0.1348314606741573,1491749539,5514359_1744478852_1148082_11001_12,Melee,VANGUARD,Ep21,1041,1,12,8,9,8988.131065368652,0.0,14656.887215137482
120,0.5,1491749539,5514359_1744478852_1148082_11001_12,Melee,DUELIST,Ep21,1041,1,12,8,9,8988.131065368652,0.0,14656.887215137482
300,0.3536585365853658,1491749539,5514359_1744478852_1148082_11001_12,Projectile,DUELIST,Ep21,1041,1,12,8,9,8988.131065368652,0.0,14656.887215137482
